timestamp,gE_min,gE_max,h2119,q2119,h2215,q2215,h2467,t2467,uv,aqi,wind,gust,wdir,smn_ff,smn_fx,smn_dd,smn_tt,smn_rad,q2179,t2179,vario_grid,vario_all
1787410200,,,,,,9.16,,,,,,,,,,,,,,,,
1787471400,531.23,531.69,531.95,5.1,480.39,9.88,,,,,,,,,,,,,,,,
1787473800,531.22,531.69,531.95,5.1,480.35,8.64,,,,,,,,,,,,,,,,
1787476800,531.23,531.69,531.95,5.1,480.34,8.23,,,,,,,,,,,,,,,,
1787480400,531.23,531.69,531.95,5.1,480.33,8.08,,,,,,,,,,,,,,,,
1787484000,531.23,531.69,531.95,5.1,480.33,8.05,,,,,,,,,,,,,,,,
1787488800,531.23,531.69,531.96,5.13,480.33,8.02,,,,,,,,,,,,,,,,
1787491800,531.24,531.69,531.95,5.1,480.33,7.98,,,,,,,,,,,,,,,,
1787497200,531.24,531.69,531.95,5.1,480.33,7.95,470.36,21.06,,,,,,,,,,,,,,
1787497800,531.24,531.69,531.95,5.1,480.33,7.92,470.36,21.03,3.25,35.0,,,,,,,,,,,,
1787498400,531.24,531.69,531.95,5.1,480.33,7.92,470.36,21.0,2.95,35.0,7.2,13.7,53.0,7.2,13.7,62.0,23.3,,,,,
1787499000,531.24,531.69,531.95,5.1,480.33,7.92,470.36,20.96,2.6,35.0,7.3,14.0,57.0,4.7,10.4,96.0,23.5,,,,,
1787499600,531.24,531.69,531.95,5.1,480.33,7.92,470.35,20.91,2.6,35.0,7.3,14.0,57.0,4.7,10.4,96.0,23.5,,,,,
1787502000,531.25,531.69,531.95,5.1,480.8,32.15,470.36,20.65,1.6,34.0,9.2,16.6,59.0,10.8,16.2,38.0,23.2,,,,,
1787505600,531.27,531.69,532.29,27.78,481.44,109.6,471.46,18.07,0.8,33.0,9.2,16.2,51.0,11.9,16.6,49.0,22.6,,,,,
1787509800,531.28,531.69,532.69,76.53,481.44,109.6,471.51,17.19,0.0,32.0,6.6,15.1,41.0,11.9,18.4,31.0,20.6,,,,,
