timestamp,gE_min,gE_max,h2119,q2119,h2215,q2215,h2467,t2467,uv,aqi,wind,gust,wdir,smn_ff,smn_fx,smn_dd,smn_tt
1787410200,,,,,,9.16,,,,,,,,,,,
1787471400,531.23,531.69,531.95,5.1,480.39,9.88,,,,,,,,,,,
1787473800,531.22,531.69,531.95,5.1,480.35,8.64,,,,,,,,,,,
1787476800,531.23,531.69,531.95,5.1,480.34,8.23,,,,,,,,,,,
1787480400,531.23,531.69,531.95,5.1,480.33,8.08,,,,,,,,,,,
1787484000,531.23,531.69,531.95,5.1,480.33,8.05,,,,,,,,,,,
1787488800,531.23,531.69,531.96,5.13,480.33,8.02,,,,,,,,,,,
1787491800,531.24,531.69,531.95,5.1,480.33,7.98,,,,,,,,,,,
1787497200,531.24,531.69,531.95,5.1,480.33,7.95,470.36,21.06,,,,,,,,,
1787497800,531.24,531.69,531.95,5.1,480.33,7.92,470.36,21.03,3.25,35.0,,,,,,,
1787498400,531.24,531.69,531.95,5.1,480.33,7.92,470.36,21.0,2.95,35.0,7.2,13.7,53.0,7.2,13.7,62.0,23.3
1787499000,531.24,531.69,531.95,5.1,480.33,7.92,470.36,20.96,2.6,35.0,7.3,14.0,57.0,4.7,10.4,96.0,23.5
1787499600,531.24,531.69,531.95,5.1,480.33,7.92,470.35,20.91,2.6,35.0,7.3,14.0,57.0,4.7,10.4,96.0,23.5
1787502000,531.25,531.69,531.95,5.1,480.8,32.15,470.36,20.65,1.6,34.0,9.2,16.6,59.0,10.8,16.2,38.0,23.2
1787505600,531.27,531.69,532.29,27.78,481.44,109.6,471.46,18.07,0.8,33.0,9.2,16.2,51.0,11.9,16.6,49.0,22.6
1787509800,531.28,531.69,532.69,76.53,481.44,109.6,471.51,17.19,0.0,32.0,6.6,15.1,41.0,11.9,18.4,31.0,20.6
1787512200,531.33,531.69,532.68,76.25,481.44,109.17,471.5,17.16,0.0,28.0,5.1,13.3,51.0,7.9,13.0,54.0,20.1
1787516400,531.35,531.69,532.61,65.72,481.44,109.31,471.51,17.15,0.0,24.0,3.1,7.2,54.0,3.2,5.0,50.0,17.6
1787520000,531.35,531.69,532.61,65.59,481.38,99.87,471.52,17.15,0.0,22.0,1.9,4.7,112.0,0.7,2.5,12.0,16.0
1787523600,531.32,531.56,532.61,65.85,480.75,28.81,471.13,17.14,0.0,20.0,2.4,3.2,153.0,2.2,3.6,218.0,14.7
1787526600,531.32,531.56,532.46,46.95,480.47,12.96,470.73,17.08,0.0,18.0,2.9,4.3,187.0,1.4,2.9,242.0,13.8
